# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6
-9.697022200000000522e-03 9.285705613597825149e-33 2.141146959809139087e-31 4.697664635690369373e-32 1.937965238299782792e-33 5.824068282415395481e-32 8.317958997794689500e-34 5.735007729040220847e-33
-9.126609100000000405e-03 4.868128837505336001e-32 7.287574512123775834e-32 1.286146606731737745e-32 2.932420779857338885e-32 2.302389993467350754e-32 1.105882071945503922e-36 2.265583290643424355e-32
-8.556196000000000287e-03 6.449246987352200517e-33 2.845326384502823650e-33 5.740184030549294967e-34 2.533883997126880923e-34 5.865037722742512332e-33 1.061054570839807035e-33 1.714981908380436170e-32
-7.985782999999999771e-03 1.103850161177777593e-31 1.206072554126309249e-32 1.092977555835290068e-32 5.332252195831388718e-33 4.536433418658647690e-33 7.467178628202778264e-33 8.368162052076430727e-32
-7.415369899999999653e-03 1.502018754561138410e-30 6.728569306436020900e-32 4.109822807730805901e-31 4.074958129625448181e-34 4.717838781414740830e-31 2.830439909237141945e-32 2.006685771128060161e-31
-6.844956800000000403e-03 4.175980412792020077e-35 3.524817999003886465e-33 5.944816992267259916e-33 6.679039487484592308e-36 4.900065400347123394e-36 1.778519605029297051e-32 1.837516947989243668e-32
-6.274543799999999887e-03 2.169924384158744866e-32 3.468430612950850116e-30 3.072019440493147174e-31 4.774145896638217006e-31 3.787795449710618581e-32 3.950431360040943543e-31 1.250321577965363730e-31
-5.704130699999999769e-03 1.326944992839830825e-32 4.560288335933641425e-30 6.842281565335761265e-31 2.894621584995033208e-32 4.247472365742341074e-32 3.393466153301639832e-27 1.016423599298763026e-33
-5.133717599999999652e-03 3.573760566913446296e-31 2.799806373007305186e-29 6.207271576696429015e-29 4.001237742437637633e-26 9.113261704727514704e-29 1.210373290608827028e-22 2.375111968764744366e-31
-4.563304500000000402e-03 2.750846318362011809e-26 1.489952966502213281e-24 1.801568426727643642e-24 1.170464170540197917e-21 2.444401489701458033e-24 3.002133202829845254e-18 8.671446759845341096e-28
-3.992891499999999885e-03 6.508041904925564224e-22 3.247495548271865277e-20 3.899512386976096174e-20 2.248611044115480789e-17 4.696621382727405563e-20 4.667200059240127306e-14 1.625985681321266131e-23
-3.422478400000000202e-03 9.458601693853900694e-18 4.446095719714122318e-16 5.287916960167631662e-16 2.623854601339019218e-13 5.477933856650938109e-16 4.132511345466618918e-10 1.439074211249897463e-19
-2.852065300000000084e-03 8.081583189840949159e-14 3.513481718211610103e-12 4.126404733793917205e-12 1.675495425873035622e-09 3.495971007369140302e-12 1.799310115516313621e-06 6.261848533670417193e-16
-2.281652300000000001e-03 3.632620579196891701e-10 1.416944080370441017e-08 1.634998832459743849e-08 4.980123735636908840e-06 1.038232695896830949e-08 2.964859479941453144e-03 1.030774144049907123e-12
-1.711239200000000101e-03 7.298031178610826443e-07 2.414809616231135950e-05 2.711565507185581289e-05 5.194174095190160628e-03 1.081300088409350978e-05 1.000000000000000000e+00 3.468906313884764174e-10
-1.140826099999999984e-03 5.089309869790190153e-04 1.262661757788143338e-02 1.349414386112832154e-02 1.000000000000000000e+00 2.074788423224326397e-03 5.159919252936920331e-03 2.956042905758852883e-12
-5.704131000000000088e-04 7.881078315621671548e-02 1.000000000000000000e+00 9.385994216132362844e-01 1.291170952686325653e-02 3.892263648018513686e-05 9.955656942100489564e-06 2.938349598629009029e-11
0.000000000000000000e+00 1.000000000000000000e+00 7.778897197291153416e-05 3.098347347386273820e-01 8.375393182226885077e-05 1.000426292450336442e-04 1.490616842742162826e-08 1.488587211905794586e-08
5.704131000000000088e-04 7.803185746844729098e-02 9.481445878862387877e-01 1.000000000000000000e+00 1.716938252630230503e-05 1.291709483471917275e-02 2.825640704278962803e-11 9.957132607951268126e-06
1.140826099999999984e-03 5.020244331156957637e-04 1.190956035871032666e-02 1.429707651674692881e-02 2.104823354009944213e-03 1.000000000000000000e+00 9.254539207723213933e-13 5.161982312474962427e-03
1.711239200000000101e-03 7.187863756622888399e-07 2.273608751741653885e-05 2.867653770371028697e-05 1.090067998246952402e-05 5.196270037380264044e-03 3.507353948715628194e-10 1.000000000000000000e+00
2.281652300000000001e-03 3.575740312107873269e-10 1.333263766153758018e-08 1.728028483050968142e-08 1.044318009801763762e-08 4.985347934017566583e-06 1.038431935656269301e-12 2.967321510827619982e-03
2.852065300000000084e-03 7.954111967639615038e-14 3.305579134834645992e-12 4.360650661854793854e-12 3.512962852128328483e-12 1.678441642797312776e-09 6.300807808121718757e-16 1.802270190589628693e-06
3.422478400000000202e-03 9.309976081477016269e-18 4.183270500430361333e-16 5.588451573815866369e-16 5.501744003845029544e-16 2.630179898515908986e-13 1.447230596787994954e-19 4.142222871202768956e-10
3.992891499999999885e-03 6.407413140242138048e-22 3.055872824406691581e-20 4.121589317210572836e-20 4.715447283321382785e-20 2.255249409995542267e-17 1.634653082373547685e-23 4.680787793824579268e-14
4.563304500000000402e-03 2.811857060353452695e-26 1.402893157700495692e-24 1.906686968855325235e-24 2.454794429269111803e-24 1.174351869321966152e-21 1.049637486985797095e-27 3.012166640516317347e-18
5.133717599999999652e-03 8.476231284321259404e-31 4.364886785369653303e-29 5.880770600357389323e-29 8.327656190373522374e-29 3.997157200355625743e-26 4.660141657439104139e-32 1.214527229712756256e-22
