# Field(kV/cm) Polarization(microC/cm2)
2520.000000 0.576759
2530.000000 0.576759
2540.000000 0.576759
2550.000000 0.576759
2560.000000 0.576759
2570.000000 0.576759
2580.000000 0.576759
2590.000000 0.576759
2600.000000 0.576759
2610.000000 0.576759
2620.000000 0.576759
2630.000000 0.576759
2640.000000 0.576759
2650.000000 0.576759
2660.000000 0.576759
2670.000000 0.576759
2680.000000 0.576759
2690.000000 0.576759
2700.000000 0.576759
2710.000000 0.576759
2720.000000 0.576759
2730.000000 0.576759
2740.000000 0.576759
2750.000000 0.576759
2760.000000 0.576759
2770.000000 0.576759
2780.000000 0.576759
2790.000000 0.576759
2800.000000 0.576759
2810.000000 0.576759
2820.000000 0.576759
2830.000000 0.576759
2840.000000 0.576759
2850.000000 0.576759
2860.000000 0.576759
2870.000000 0.576759
2880.000000 0.576759
2890.000000 0.576759
2900.000000 0.576759
2910.000000 0.576759
2920.000000 0.576759
2930.000000 0.576759
2940.000000 0.576759
2950.000000 0.576759
2960.000000 0.576759
2970.000000 0.576759
2980.000000 0.576759
2990.000000 0.576759
3000.000000 0.576759
