# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
1.050119750000000005e-02 6.442701106524385493e-35 1.551207841158058915e-35 1.027361777867702090e-37 1.316212344902745305e-34
1.105389210000000053e-02 2.680751752142508495e-33 5.711624127498412038e-33 6.299689150134278622e-34 8.024294276700014172e-35
1.160658680000000061e-02 1.021362884294776052e-34 2.396417002308168212e-33 1.495479478327029562e-33 6.943648413727231068e-34
1.215928139999999935e-02 2.616728681457091206e-33 2.908691386223798689e-33 1.651155615969968028e-35 8.660357381794095431e-33
1.271197599999999983e-02 5.448351992723894860e-33 1.616507175207871874e-33 6.076794017344024450e-33 3.954511433881772400e-33
1.326467060000000031e-02 3.695152625492596156e-33 5.870701075072687408e-37 1.227729480075662721e-35 4.420156881390036506e-33
1.381736520000000079e-02 2.806241847473004838e-33 3.283997129711734128e-33 1.553093855238437221e-34 2.514275872254253094e-34
1.437005979999999954e-02 1.348935768849284373e-33 1.032485403380762518e-35 1.038387281770520217e-34 1.679931812758981645e-33
1.492275440000000002e-02 6.005325180761768365e-35 2.208404599519800246e-34 5.714516293880543483e-34 2.734323549003606600e-35
1.547544900000000050e-02 2.422670168333608576e-34 1.633349831546826239e-35 5.094995215251903552e-37 1.633598490791067785e-34
1.602814359999999924e-02 1.490717513005906729e-33 1.171657384325642687e-37 3.817965364658056226e-33 2.566019360895736174e-33
1.658083819999999972e-02 1.008173867421396535e-31 8.560408479960829392e-33 6.169602821208672539e-35 1.287011942559747672e-32
1.713353280000000020e-02 5.151290681616429062e-33 4.737702099257587455e-33 6.616132862545709736e-35 9.483416634629511716e-34
1.768622740000000068e-02 2.205881219025115069e-34 1.933352615358520107e-33 3.116301908853003506e-35 9.142851654657068103e-34
1.823892200000000116e-02 8.100572213456826265e-33 1.768690123026963176e-32 6.302457151449169767e-33 1.149093317309476724e-33
1.879161660000000164e-02 6.743724008112360702e-32 1.276399638342862749e-31 6.183888305927150264e-32 2.184908744996783524e-31
1.934431129999999999e-02 4.834724186959234325e-31 7.267817205883198937e-32 3.085839818384061750e-35 2.994029404181634408e-32
1.989700590000000047e-02 5.741835583586921600e-32 1.393690161086754813e-32 3.986648302060739220e-32 1.395869602326248147e-33
2.044970050000000095e-02 5.006139460203729572e-31 4.858770934919418772e-31 3.804905139755883904e-31 5.543549025833924160e-33
2.100239510000000143e-02 5.159653720739753593e-32 3.850194334623548875e-33 2.904454634340107472e-32 7.370327426458490615e-33
2.155508969999999844e-02 6.770937321869512187e-31 1.331204518827492885e-30 8.886681532028340758e-32 1.433438595446629244e-31
2.210778429999999892e-02 1.896362488453091619e-31 7.009041149415358903e-31 1.592886010744651948e-31 3.515334767550901256e-32
2.266047889999999940e-02 4.549122162770312519e-34 3.980424794875993574e-32 5.154918669109335284e-31 1.092231420320485618e-31
2.321317349999999988e-02 5.806976962672011442e-31 2.495866761087108386e-32 1.631265022517947931e-31 5.616593347269816730e-31
2.376586810000000036e-02 1.882996114347034146e-33 1.149272631397323801e-30 1.916531357716312391e-30 1.317753638806307567e-31
2.431856270000000084e-02 6.311550022514048596e-31 6.479269784622821603e-31 2.846432676239052364e-30 2.366490765706516263e-31
2.487125730000000132e-02 2.696672346496912840e-31 4.285578858287322739e-34 7.635366713792020524e-32 6.316143180281497741e-31
2.542395189999999833e-02 9.229039428779466992e-33 5.623664527131904768e-30 1.250212247100386666e-30 5.114197209736018229e-31
2.597664649999999881e-02 8.379302011999973827e-31 1.499499440699064836e-29 1.198370222951242089e-30 1.054478016499034861e-29
2.652934109999999929e-02 1.378141303805587683e-25 7.188494544330542485e-29 3.223126617640509863e-27 2.472936975698588488e-29
2.708203580000000110e-02 1.605398860579557860e-18 1.121227820129604759e-22 2.518014231526289710e-20 9.561851700603297239e-25
2.763473040000000158e-02 6.901025183553906795e-12 4.813004688049093197e-16 1.073423643216574571e-13 4.147677772338159201e-18
2.818742499999999859e-02 7.749508771105768828e-06 5.404774606523318321e-10 1.186375415493462314e-07 4.584111081076265374e-12
2.874011959999999907e-02 1.000000000000000000e+00 6.974344798098142529e-05 1.460174654434657528e-02 5.642061438952238073e-07
2.929281419999999955e-02 1.460180052025591459e-02 1.018379911963842747e-06 1.000000000000000000e+00 3.863963382839684558e-05
2.984550880000000003e-02 8.705473030349945645e-08 6.071497356131910695e-12 6.214100951664548268e-06 2.401105831595003187e-10
3.039820340000000051e-02 5.757100677472753106e-14 4.015254349413420044e-18 4.166208170017382697e-12 1.609799988862150826e-16
3.095089800000000099e-02 9.286770473809136443e-21 6.455863184645860303e-25 6.763636572820765767e-19 2.624412495550439393e-23
3.150359259999999800e-02 3.823119554370119587e-28 2.583362195604206962e-30 3.767351968474457428e-26 1.909664453766773728e-30
3.205628719999999848e-02 3.508245097850235976e-31 2.546104572931024798e-30 2.067096995506499268e-30 1.344706307393580537e-31
3.260898179999999896e-02 6.040753145228574928e-31 8.607415076331080013e-31 9.224031876968681448e-31 2.783730434359135484e-31
3.316167639999999944e-02 5.862928652838725407e-31 9.374118011365182340e-31 1.528844728257223032e-32 1.516580353316400620e-34
3.371437099999999992e-02 1.040087974616878811e-30 1.935689346210909115e-30 7.489576326634387955e-31 2.877805840793920622e-31
3.426706570000000174e-02 3.186546883343326654e-32 3.118007949735831648e-32 1.899768152495341414e-34 3.489668501798350455e-34
3.481976030000000222e-02 4.830371907983976072e-31 1.312182240859241643e-30 2.853427383720544400e-31 2.271215910510907178e-31
3.537245490000000270e-02 7.640257590426990447e-32 8.855316976407498181e-32 2.207271516252816495e-33 1.200690161289913849e-33
3.592514950000000318e-02 4.770453869520300882e-34 2.096191845711923073e-33 1.827339124765386357e-35 9.675597223254149625e-34
3.647784409999999672e-02 7.161371371303744819e-35 4.303582268343493014e-34 3.600151174688635566e-34 1.900903140944780278e-34
3.703053869999999720e-02 1.698137704060981683e-33 3.091219673918782883e-33 3.025367354107564447e-33 1.360362700758997243e-32
3.758323329999999768e-02 4.085659906086283408e-34 4.728434607276708807e-35 8.808588324377519954e-33 5.255642787537972812e-33
