# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13 psi2_state_14 psi2_state_15 psi2_state_16
-3.913436309999999974e-02 1.035286642595518673e-31 3.527526727539754108e-34 2.350806041313381314e-33 1.152012333165160531e-33 9.212618576713497331e-32 3.602536210357735682e-32 3.393794863704769819e-32 2.205437063943533195e-33 4.341765254445367554e-33 5.102279666456322121e-32 2.063545842401305678e-32 4.315194579481506610e-33 7.271980240555644699e-33 8.574898129249836198e-33 5.526274091466392751e-31 8.662395143888098545e-32 2.596863579230619270e-33
-3.856719840000000232e-02 8.921040937351712320e-31 9.439422305443245708e-33 1.383976034765551012e-29 7.335057003894938532e-30 1.325371080609829274e-32 9.344651560183348607e-31 1.003546208314923229e-31 3.862834172713897891e-32 4.368443891377921712e-32 1.640816158936794708e-33 4.200301628661285347e-31 1.052599860944277482e-30 4.575682542628905241e-33 3.966202004934962967e-30 8.850667403409746251e-32 5.214474341463954497e-34 2.474203170118442167e-31
-3.800003369999999797e-02 4.053524715423236028e-31 1.612047936815333607e-33 9.881819790960551559e-30 3.688783291242016586e-31 9.809247235293597090e-29 2.054995949777751664e-32 8.902608304470094866e-28 7.441141610267373687e-35 1.595864029288924824e-27 2.975932446530358330e-31 4.322718274654683639e-30 3.109746059634311552e-34 1.417173162332328650e-29 6.242007981758769195e-26 7.855834359158814945e-34 1.132615438794360958e-32 7.215081780782180956e-28
-3.743286900000000056e-02 4.012483984434969425e-27 5.255332599565484898e-31 1.013597203630840582e-25 3.247098401574290161e-30 7.071004935610151165e-25 6.876495798252761753e-30 6.477507137424669046e-24 2.834091842742690005e-28 1.189860594125881953e-23 4.497000396975280822e-28 3.220929218230759843e-26 9.735321919514969022e-30 1.007758685874556709e-25 4.487894324218849874e-22 9.681822904095166653e-31 1.286784844349528872e-29 4.720829156493752457e-24
-3.686570430000000315e-02 2.236440028435573875e-23 3.707402295049277149e-28 5.458175974015529812e-22 2.368854513664824187e-26 3.688123667216794657e-21 1.501933911450662937e-26 3.291802754907846014e-20 1.340327135039537834e-24 5.991364051795309393e-20 2.228478978650609810e-24 1.547591648002236253e-22 2.235493551876030479e-26 4.782744766461426519e-22 2.121130367091836427e-18 4.272370881682251696e-31 3.416632158861861182e-26 2.001853561599539862e-20
-3.629853959999999879e-02 8.173161905151761635e-20 1.270045733201349160e-24 1.914019712953359682e-18 8.506064810097787270e-23 1.247666870404644589e-17 4.947668179888385015e-23 1.072850701201950523e-16 4.362820031522927943e-21 1.932715771582591399e-16 7.177532753908854149e-21 4.671657987844490119e-19 6.799330867045711910e-23 1.424526824603107409e-18 6.318015831923538732e-15 1.106183467700072435e-28 9.340713348462754609e-23 5.196859749425869176e-17
-3.573137500000000272e-02 1.888309530957303068e-16 2.914572903864757953e-21 4.196533225387226365e-15 1.867255494059279608e-19 2.614199731790701917e-14 1.037554333634691236e-19 2.143407147777435793e-13 8.716698164179101524e-18 3.811051184397797429e-13 1.415427621434445149e-17 8.459104395397761747e-16 1.230552691745444723e-19 2.535099164369190402e-15 1.124359073652964139e-11 3.007682443696085167e-25 1.473275190314799741e-19 7.726802224412524834e-14
-3.516421029999999837e-02 2.634777780512292460e-13 4.066052411482222466e-18 5.472414444149214453e-12 2.435054075127623646e-16 3.213575570909810213e-11 1.275511772659101184e-16 2.475481529525371528e-10 1.006715354284771969e-14 4.326212128895004545e-10 1.606762033382554201e-14 8.575134869708941455e-13 1.247434017707693227e-16 2.510924974197432870e-12 1.113637451499962987e-08 2.606722897688569087e-22 1.237957338008700051e-16 5.990774182231406134e-11
-3.459704560000000095e-02 2.098069456327921454e-10 3.237795809630816489e-15 3.982277111282931666e-09 1.771988619235173050e-13 2.159902438238400587e-08 8.572945507635304695e-14 1.528426255142406941e-07 6.215721028590233541e-12 2.608710056569650789e-07 9.688790476856356296e-12 4.419413779861517380e-10 6.428968682240622712e-14 1.252518186623052659e-09 5.555128807740924674e-06 1.027059917253230262e-19 4.877102729393399225e-14 2.096153300896744787e-08
-3.402988089999999660e-02 8.873523559607157615e-08 1.369385418459854147e-12 1.486725522699045208e-06 6.615463047934910632e-11 7.210028779012264085e-06 2.861758192973338235e-11 4.517799588651093685e-05 1.837274260391150094e-09 7.451077521615624515e-05 2.767341992086575972e-09 1.000288966260636988e-07 1.455131111361562063e-11 2.698028840193060250e-07 1.196621166243547717e-03 1.525695899345815655e-17 7.244790455013094304e-12 2.556369439190385892e-06
-3.346271619999999919e-02 1.816896249002552884e-05 2.803881951319960787e-10 2.537445637603617733e-04 1.129083854905501131e-08 1.040214013481249563e-03 4.128750471120094843e-09 5.398828337010103465e-03 2.195566257601009515e-07 8.433648367056780989e-03 3.132270361553669665e-07 7.709607577745751218e-06 1.121524902935137681e-09 1.908460838335541483e-05 8.464344784347525852e-02 5.334948393795564938e-16 2.533308780525125227e-10 5.800009110777663748e-05
-3.289555160000000311e-02 1.593652192943680003e-03 2.459365877880169238e-08 1.671786901395650241e-02 7.438928229772281505e-07 5.185356234596841946e-02 2.058138202004168641e-07 1.927978257738547918e-01 7.840597521842378241e-06 2.722462132830272274e-01 1.011126748349655270e-05 1.118695416718306897e-04 1.627378256643420935e-08 2.254705930568556263e-04 1.000000000000000000e+00 4.357614528515230651e-16 2.069234480929207860e-10 4.502724194569049005e-06
-3.232838689999999876e-02 5.079325174059427794e-02 7.838547877277188492e-07 3.217782796382202548e-01 1.431812586950173902e-05 5.711790661844620143e-01 2.267087164745840346e-06 9.475617677603334066e-01 3.853492858731107600e-05 1.000000000000000000e+00 3.714015839349496192e-05 5.631374086572444353e-08 8.192020146448017939e-12 3.938072522640079606e-05 1.746601394565048537e-01 6.019433394706634714e-15 2.858349015883117063e-09 1.192455090599398632e-07
