# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-2.161513199999999871e-02 6.998546669686776741e-33 2.295863540217240656e-33 3.907696880395438174e-32 1.191076399517526195e-32 5.482526582421731461e-33 2.426254698687790823e-32 6.525195163009170053e-33 1.156381259586067482e-33
-2.081457160000000153e-02 5.688866341267002992e-33 3.795347342394839541e-33 1.818547350602578199e-32 5.903457211191977633e-34 9.156539002231724851e-33 6.770153485142944424e-33 2.257949323785888773e-33 7.931596644926638234e-33
-2.001401109999999955e-02 9.770767253709038637e-36 1.009575932822252855e-32 1.329723766722103935e-33 3.523250226703915227e-33 3.291163800944402770e-34 1.211668331862845538e-32 6.442932197221857052e-33 2.421791319558916745e-37
-1.921345069999999891e-02 1.059432420360381006e-33 2.407348295456355362e-32 3.297033292983827881e-33 7.332804278466097420e-35 7.597554900046769439e-33 1.992375508744998676e-34 1.028309120954169353e-33 2.164202813271702804e-33
-1.841289029999999827e-02 1.358730766943276625e-33 5.795159247944776194e-32 5.812232223200032171e-33 1.719254570101279860e-34 5.087108946847561881e-35 9.246734272620365628e-34 5.228954129057309821e-34 1.713995938028299255e-35
-1.761232979999999976e-02 3.666295027339392762e-34 1.570174460521023138e-34 4.453677519715058391e-34 2.813093670799818767e-37 7.446900803033111215e-35 5.966186489114779370e-34 2.457327543805580946e-36 3.123076595400280565e-34
-1.681176939999999911e-02 2.531696312432260315e-32 1.737082028129324420e-32 6.390826058452286911e-33 1.804453392438134920e-33 4.416959272150804773e-32 1.655582934101176361e-31 2.088977348962569858e-32 1.400726826047601668e-35
-1.601120890000000060e-02 2.696429055855922902e-32 7.721762159436201545e-35 3.095922603758935766e-32 1.126646653545852152e-31 2.064517868793088333e-32 1.063570232484651145e-31 4.972400273223020577e-32 1.573419301148739091e-32
-1.521064849999999996e-02 2.370258816286665450e-34 2.521959789342929604e-35 3.888601054830636199e-33 1.379871014119807246e-33 1.836887113364622642e-34 2.860659746983952551e-35 3.698213065872196149e-33 2.159655756972316669e-36
-1.441008799999999972e-02 1.821031533119705532e-33 1.822891164064573671e-33 8.241518689672037237e-33 6.037577402833355170e-33 3.526911202076688465e-32 1.168374387539471162e-32 3.323093504576082977e-32 1.829235671205575652e-32
-1.360952760000000081e-02 3.657662289148181963e-32 6.908200616256695891e-32 3.622360203778799078e-33 2.346014304061916162e-32 9.142572977030640111e-33 1.533617586256815028e-32 3.616694407012213334e-31 1.998800882440672870e-33
-1.280896710000000056e-02 1.559142594620297566e-31 6.455373867445101486e-31 2.596997554583428284e-31 8.282224022344972236e-32 8.100491224840426378e-32 1.091977822581956637e-31 3.590888891010728295e-32 4.648262898108663044e-33
-1.200840669999999992e-02 1.600923448803386978e-32 1.960038399027627004e-33 1.010796042492637413e-33 4.635286917057113657e-32 1.390703011814553414e-31 2.647209654206434666e-32 1.789767179857283685e-36 1.246456939979399942e-31
-1.120784619999999968e-02 1.277226900079329827e-31 1.414414740991463231e-31 4.168757098166170142e-34 6.485956835919461892e-32 8.228976984481762508e-33 2.448025887247288721e-32 8.256485089813105006e-32 9.754755719852917049e-32
-1.040728580000000077e-02 2.181315830486542059e-33 2.861021387082755060e-33 5.788708178196965216e-32 2.087052243500103122e-34 2.248653864105211826e-34 1.616548146484655632e-33 4.658111721491556043e-33 7.844891401842241345e-33
-9.606725300000000523e-03 3.960226406507019797e-31 1.697662794344918917e-30 1.010558990023793919e-30 2.884174912298251047e-30 4.586149821313818399e-31 1.115185528921725439e-31 7.894060899634236162e-31 4.072456766332237240e-31
