# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
-2.500059099999999909e-02 6.613044949206107614e-32 4.167641361310093635e-33 1.862144658720873125e-33 1.262805258735861994e-32
-2.413850169999999865e-02 1.048205569185085708e-32 7.183288374271245866e-32 1.342558336219253772e-33 8.700602951304870207e-33
-2.327641230000000033e-02 2.877240707285202619e-32 1.812996438691446904e-32 3.173298782032101855e-34 5.235291610742268042e-32
-2.241432299999999989e-02 1.211229351277347131e-32 2.943710974720746377e-33 3.548358067906912622e-32 1.359561775081798996e-33
-2.155223360000000157e-02 3.392448970150738693e-32 1.393004602247679495e-33 1.085955776826580670e-33 3.759816708036674255e-32
-2.069014430000000113e-02 6.498717540035129910e-33 4.997891285730267840e-33 1.339655806035385224e-33 2.405630387263141569e-35
-1.982805489999999934e-02 9.226092240603333073e-33 8.293458927254039565e-34 3.842193375233063800e-33 2.337266183669107290e-35
-1.896596559999999890e-02 1.110085129154880031e-33 4.004963340148237253e-35 8.333193030620277785e-34 8.062823898390463481e-33
-1.810387620000000058e-02 1.405288376862355279e-36 2.707147981728330649e-33 2.392187608756204314e-34 2.309020748536543238e-33
-1.724178690000000014e-02 3.537857453498698695e-34 3.162938946111851343e-34 5.863203175770624230e-38 4.516177586668299414e-35
-1.637969749999999836e-02 1.797086804679196355e-33 3.422934514820433352e-34 7.873399390022133219e-34 7.117329394000146737e-34
-1.551760819999999964e-02 8.174608820840062176e-34 2.000649944800958403e-35 2.425959660344748531e-35 1.651264463973299510e-36
-1.465551889999999920e-02 6.712401384720320223e-33 6.181465133406297819e-34 2.179211986066337902e-35 8.115809652291341970e-35
-1.379342949999999915e-02 1.079036186973312006e-36 1.224370548601037797e-37 3.658211106453776069e-37 3.822614234046140118e-37
-1.293134020000000044e-02 9.476757892815753588e-35 2.759805415380371951e-35 1.045245753997756165e-32 1.129286187727666367e-32
-1.206925080000000039e-02 3.782808957863142289e-33 4.277037093352313806e-34 6.790122346834607549e-33 8.137345965569915043e-33
-1.120716149999999994e-02 2.341345827117006393e-33 2.915473017939141621e-34 2.047960246126672233e-32 2.283007884363379080e-32
-1.034507209999999990e-02 1.733116666919713233e-33 2.368657843877736507e-34 1.674507762490228480e-34 1.757225121937631777e-34
-9.482982799999999449e-03 1.264196392026208858e-36 1.650658882772647955e-37 5.026992021787312097e-39 4.378997860539161857e-39
-8.620893399999999401e-03 5.209975796959380214e-33 7.999569168330629942e-34 2.582329263013426383e-33 2.823207977966812391e-33
-7.758804099999999822e-03 1.699476982031934328e-33 1.688703489146349285e-34 3.974656022333649787e-33 4.376632227313379755e-33
-6.896714800000000242e-03 2.349922353859382445e-34 1.693695873573999982e-35 1.490070537676802350e-33 1.534925458404608983e-33
-6.034625400000000195e-03 4.855711000049482709e-33 7.738796561691813647e-34 8.751695928704058238e-35 1.438948069305054307e-34
-5.172536099999999748e-03 5.627079390986413762e-34 8.350703353454336836e-35 1.730667050360669168e-36 8.271725702686876906e-38
-4.310446699999999701e-03 1.977218333555785325e-32 2.888010978201295877e-33 2.953549758449004766e-35 3.926053814225012410e-35
-3.448357400000000121e-03 1.209425999656184974e-36 8.064862057181887916e-38 1.329307891544194591e-36 1.603519475528370767e-36
-2.586268000000000074e-03 6.068898731835707961e-34 3.850200482059948798e-34 3.292002498805250922e-33 4.484204539149100955e-33
-1.724178700000000061e-03 2.785748421284290143e-35 1.877442536699769739e-35 1.589361502127370276e-34 3.101517619832682246e-34
-8.620893000000000132e-04 2.069656815387392820e-34 9.161871480901652073e-35 5.011516009011487026e-35 2.694359616999140789e-34
0.000000000000000000e+00 2.393404044016815301e-34 3.350792023918466891e-34 3.719212219803378296e-34 7.811543083232670439e-34
8.620893000000000132e-04 1.518582167183898637e-36 1.057409974788530602e-34 4.672231980435950448e-34 8.222046273215837592e-34
1.724178700000000061e-03 9.166011373971691780e-36 2.404475284536463018e-34 1.560248664361087653e-33 2.560933142003254390e-33
2.586268000000000074e-03 2.454122066424816822e-37 1.676605080227609159e-37 8.744625345407825612e-36 1.232448099531162710e-35
3.448357400000000121e-03 6.143433086622166490e-35 1.237590097611539239e-35 1.898236446785596952e-35 1.527165366252116576e-35
4.310446699999999701e-03 1.648338980318204475e-32 2.426563200394979890e-33 3.973423335643573161e-34 4.635472833816859086e-34
5.172536099999999748e-03 4.931962199539934943e-34 7.340469896764920988e-35 5.900328972232992011e-36 2.162810667954905628e-36
6.034625400000000195e-03 3.656783915070651085e-33 6.239070545671652470e-34 3.134243132674492209e-34 4.604391488796880780e-34
6.896714800000000242e-03 3.142564073336085068e-33 4.105232570459650168e-34 8.432284532367087893e-33 9.003922064214783985e-33
7.758804099999999822e-03 9.751537879244062153e-34 8.173937875900807221e-35 2.774753334270699845e-33 3.034792054580440715e-33
8.620893399999999401e-03 4.106859005442095381e-35 6.772394142534674146e-36 2.746966996671488640e-35 3.175663147221554534e-35
9.482982799999999449e-03 1.305417666007293213e-32 1.767871416436868616e-33 8.310079388293129897e-34 9.225342593566277144e-34
1.034507209999999990e-02 2.929899984553688697e-32 4.026576441724598017e-33 4.061741794395523340e-33 4.370611581417484155e-33
1.120716149999999994e-02 4.384424738237812736e-34 5.833206886129611512e-35 1.716442023311269699e-33 1.912815425993708137e-33
1.206925080000000039e-02 6.975715207864478845e-36 8.973170697452326229e-37 4.171072787361639488e-36 5.023346720988505707e-36
1.293134020000000044e-02 2.779242014482089224e-37 3.024401035492389648e-38 7.304313244177333815e-36 7.918405457997566971e-36
1.379342949999999915e-02 6.654639865294660802e-33 7.631713370066262043e-34 2.835558835874970842e-35 1.518721862888148693e-35
