# Field(kV/cm) Polarization(microC/cm2)
-35.000000 -0.000109
-33.750000 -0.000105
-32.500000 -0.000101
-31.250000 -0.000097
-30.000000 -0.000094
-28.750000 -0.000090
-27.500000 -0.000086
-26.250000 -0.000082
-25.000000 -0.000079
-23.750000 -0.000075
-22.500000 -0.000071
-21.250000 -0.000067
-20.000000 -0.000064
-18.750000 -0.000060
-17.500000 -0.000056
-16.250000 -0.000052
-15.000000 -0.000049
-13.750000 -0.000045
-12.500000 -0.000041
-11.250000 -0.000038
-10.000000 -0.000034
-8.750000 -0.000030
-7.500000 -0.000026
-6.250000 -0.000023
-5.000000 -0.000019
-3.750000 -0.000015
-2.500000 -0.000012
-1.250000 -0.000008
0.000000 -0.000004
1.250000 -0.000000
2.500000 0.000003
3.750000 0.000007
5.000000 0.000011
6.250000 0.000014
7.500000 0.000018
8.750000 0.000022
10.000000 0.000026
11.250000 0.000029
12.500000 0.000033
13.750000 0.000037
15.000000 0.000040
16.250000 0.000044
17.500000 0.000048
18.750000 0.000052
20.000000 0.000055
21.250000 0.000059
22.500000 0.000063
23.750000 0.000066
25.000000 0.000070
26.250000 0.000074
27.500000 0.000078
28.750000 0.000081
30.000000 0.000085
31.250000 0.000089
32.500000 0.000093
33.750000 0.000096
35.000000 0.000100
36.250000 0.000104
37.500000 0.000108
38.750000 0.000112
40.000000 0.000115
41.250000 0.000119
42.500000 0.000123
43.750000 0.000127
45.000000 0.000131
46.250000 0.000134
47.500000 0.000138
48.750000 0.000142
50.000000 0.000146
51.250000 0.000150
52.500000 0.000154
53.750000 0.000157
55.000000 0.000161
56.250000 0.000165
57.500000 0.000169
58.750000 0.000173
60.000000 0.000177
61.250000 0.000181
62.500000 0.000185
63.750000 0.000189
65.000000 0.000193
66.250000 0.000196
67.500000 0.000200
68.750000 0.000204
70.000000 0.000208
71.250000 0.000212
72.500000 0.000216
73.750000 0.000220
75.000000 0.000224
76.250000 0.000228
77.500000 0.000232
78.750000 0.000236
80.000000 0.000241
81.250000 0.000245
82.500000 0.000249
83.750000 0.000253
85.000000 0.000257
86.250000 0.000261
87.500000 0.000265
88.750000 0.000269
90.000000 0.000273
91.250000 0.000278
92.500000 0.000282
93.750000 0.000286
95.000000 0.000290
96.250000 0.000294
97.500000 0.000299
98.750000 0.000303
100.000000 0.000307
101.250000 0.000312
102.500000 0.000316
103.750000 0.000320
105.000000 0.000325
106.250000 0.000329
107.500000 0.000333
108.750000 0.000338
110.000000 0.000342
111.250000 0.000346
112.500000 0.000351
113.750000 0.000355
115.000000 0.000360
116.250000 0.000364
117.500000 0.000369
118.750000 0.000373
120.000000 0.000378
121.250000 0.000382
122.500000 0.000387
123.750000 0.000392
125.000000 0.000396
126.250000 0.000401
127.500000 0.000406
128.750000 0.000410
130.000000 0.000415
131.250000 0.000420
132.500000 0.000424
133.750000 0.000429
135.000000 0.000434
136.250000 0.000439
137.500000 0.000444
138.750000 0.000449
140.000000 0.000453
141.250000 0.000458
142.500000 0.000463
143.750000 0.000468
145.000000 0.000473
146.250000 0.000478
147.500000 0.000483
148.750000 0.000488
150.000000 0.000493
151.250000 0.000498
152.500000 0.000504
